Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
668342e86ce7e76d7adde901,5db4f0b63e33f2000dd54016,APPROVED,Not Applicable,2024-07-01T23:59:55.727000Z,2024-07-02T00:04:01.487000Z,2024-07-02T00:06:21.336000Z,2024-07-02T00:09:12.634107Z,246,CB1VAZXU,7559,31,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6683432bd1d16630fd375cf1,66294a585f1cf3fdaeb80120,APPROVED,Not Applicable,2024-07-02T00:00:47.689000Z,2024-07-02T00:05:09.355000Z,2024-07-02T00:06:27.658000Z,2024-07-02T00:09:14.689631Z,262,CB1VAZXU,262,48,Female,White,United States,United States,United States,English,No,Part-Time
6683434f5d67e9d1df712af9,6634fb892af2e227ab65f004,APPROVED,Not Applicable,2024-07-02T00:01:30.072000Z,2024-07-02T00:07:32.982000Z,2024-07-02T00:07:33.723000Z,2024-07-02T00:09:22.566642Z,363,CB1VAZXU,207,40,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6683438c4bcb16985fd05281,651ebcca48c60acc82f1f2bd,APPROVED,Not Applicable,2024-07-02T00:02:25.028000Z,2024-07-02T00:07:13.254000Z,2024-07-02T00:07:14.632000Z,2024-07-02T00:09:20.777394Z,289,CB1VAZXU,2015,66,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
668343c22771754f1a692e25,665a52573b9527ce0011158b,APPROVED,Not Applicable,2024-07-02T00:03:18.861000Z,2024-07-02T00:06:08.829000Z,2024-07-02T00:06:32.417000Z,2024-07-02T00:09:16.184096Z,170,CB1VAZXU,186,43,Female,White,United States,United States,United States,English,No,Full-Time
668343c4a06a464a55375cc8,665e2d0a6eba582f0b13ce9b,APPROVED,Not Applicable,2024-07-02T00:03:34.971000Z,2024-07-02T00:10:53.384000Z,2024-07-02T01:11:39.400000Z,2024-07-02T01:11:36.972214Z,439,CB1VAZXU,169,40,Female,Black,United States,United States,United States,English,No,Part-Time
668343d1a286ecc1c65af33c,5c51d7f198b0ff000110dba8,APPROVED,Not Applicable,2024-07-02T00:03:35.181000Z,2024-07-02T00:09:47.981000Z,2024-07-02T00:09:51.305000Z,2024-07-02T00:09:48.580903Z,373,CB1VAZXU,5775,56,Male,White,Spain,United States,United States,English,No,Full-Time
668343f3ed4bd8e0818a0415,5b757a03976ecb0001b1168f,APPROVED,Not Applicable,2024-07-02T00:04:15.200000Z,2024-07-02T00:13:01.399000Z,2024-07-02T00:13:03.275000Z,2024-07-02T00:13:02.183847Z,527,CB1VAZXU,5429,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6683447bc2ee6100fe898e3e,66512f7075174757b10eab2d,APPROVED,Not Applicable,2024-07-02T00:06:23.778000Z,2024-07-02T00:11:20.619000Z,2024-07-02T00:11:22.775000Z,2024-07-02T00:11:21.449529Z,297,CB1VAZXU,244,30,Female,White,United States,United States,United States,English,Yes,Part-Time
6683448e82f2dba4ee91afa6,5f4f12010c816616c12ab29d,APPROVED,Not Applicable,2024-07-02T00:06:43.055000Z,2024-07-02T00:14:50.059000Z,2024-07-02T00:14:51.236000Z,2024-07-02T00:14:51.172826Z,488,CB1VAZXU,6649,32,Male,White,United States,United States,United States,English,No,Full-Time
